DatTim	Inten	Press
01.10.2017 00:00	8959	1006.2
01.10.2017 01:00	9000	1006.5
01.10.2017 02:00	8897	1006.9
01.10.2017 03:00	8905	1007.3
01.10.2017 04:00	8884	1007.6
01.10.2017 05:00	8851	1007.9
01.10.2017 06:00	8898	1008.4
01.10.2017 07:00	8783	1008.7
01.10.2017 08:00	8793	1008.8
01.10.2017 09:00	8774	1009
01.10.2017 10:00	8782	1009.1
01.10.2017 11:00	8798	1009
01.10.2017 12:00	8756	1009.2
01.10.2017 13:00	8738	1009.3
01.10.2017 14:00	8781	1009.6
01.10.2017 15:00	8732	1009.8
01.10.2017 16:00	8749	1009.9
01.10.2017 17:00	8729	1009.9
01.10.2017 18:00	8772	1009.9
01.10.2017 19:00	8742	1009.9
01.10.2017 20:00	8766	1010.1
01.10.2017 21:00	8747	1010.1
01.10.2017 22:00	8698	1010.3
01.10.2017 23:00	8662	1010.4
02.10.2017 00:00	8659	1010.4
02.10.2017 01:00	8704	1010.3
02.10.2017 02:00	8685	1010.2
02.10.2017 03:00	8673	1010.1
02.10.2017 04:00	8751	1010
02.10.2017 05:00	8734	1010.1
02.10.2017 06:00	8719	1010.1
02.10.2017 07:00	8771	1010.1
02.10.2017 08:00	8742	1010
02.10.2017 09:00	8756	1009.8
02.10.2017 10:00	8774	1009.7
02.10.2017 11:00	8789	1009.6
02.10.2017 12:00	8775	1009.2
02.10.2017 13:00	8799	1009
02.10.2017 14:00	8780	1009
02.10.2017 15:00	8824	1009
02.10.2017 16:00	8846	1008.8
02.10.2017 17:00	8816	1008.6
02.10.2017 18:00	8860	1008.7
02.10.2017 19:00	8820	1008.6
02.10.2017 20:00	8817	1008.6
02.10.2017 21:00	8861	1008.5
02.10.2017 22:00	8827	1008.4
02.10.2017 23:00	8856	1008.2
03.10.2017 00:00	8825	1008.2
03.10.2017 01:00	8840	1008.1
03.10.2017 02:00	8894	1008
03.10.2017 03:00	8910	1007.9
03.10.2017 04:00	8892	1007.9
03.10.2017 05:00	8887	1007.7
03.10.2017 06:00	8943	1007.5
03.10.2017 07:00	8930	1007.3
03.10.2017 08:00	8979	1007.4
03.10.2017 09:00	8967	1007.3
03.10.2017 10:00	9016	1006.9
03.10.2017 11:00	9023	1006.3
03.10.2017 12:00	9042	1005.8
03.10.2017 13:00	9074	1005.1
03.10.2017 14:00	9102	1005
03.10.2017 15:00	9088	1004.7
03.10.2017 16:00	9124	1004.3
03.10.2017 17:00	9114	1004.3
03.10.2017 18:00	9161	1004.1
03.10.2017 19:00	9151	1003.8
03.10.2017 20:00	9215	1003.5
03.10.2017 21:00	9200	1003.1
