DatTim	Press	NevCT3
01.10.2017 00:00	1008.89	1339.93
01.10.2017 01:00	1009.08	1339.99
01.10.2017 02:00	1009.47	1336
01.10.2017 03:00	1009.85	1334.93
01.10.2017 04:00	1010.23	1334.14
01.10.2017 05:00	1010.5	1334.28
01.10.2017 06:00	1010.87	1332.6
01.10.2017 07:00	1011.22	1330.88
01.10.2017 08:00	1011.32	1330.52
01.10.2017 09:00	1011.47	1330.68
01.10.2017 10:00	1011.56	1328.86
01.10.2017 11:00	1011.55	1328.63
01.10.2017 12:00	1011.71	1328.02
01.10.2017 13:00	1011.83	1326.33
01.10.2017 14:00	1012.05	1325.85
01.10.2017 15:00	1012.23	1324.03
01.10.2017 16:00	1012.32	1326.34
01.10.2017 17:00	1012.39	1325.41
01.10.2017 18:00	1012.31	1324.57
01.10.2017 19:00	1012.36	1326.46
01.10.2017 20:00	1012.53	1323.74
01.10.2017 21:00	1012.51	1322.89
01.10.2017 22:00	1012.69	1324.91
01.10.2017 23:00	1012.77	1322.49
02.10.2017 00:00	1012.73	1322.04
02.10.2017 01:00	1012.59	1322.99
02.10.2017 02:00	1012.51	1322.89
02.10.2017 03:00	1012.45	1324.27
02.10.2017 04:00	1012.36	1324.15
02.10.2017 05:00	1012.45	1325.13
02.10.2017 06:00	1012.46	1325.05
02.10.2017 07:00	1012.48	1325.02
02.10.2017 08:00	1012.34	1326
02.10.2017 09:00	1012.21	1326.37
02.10.2017 10:00	1012.06	1326.77
02.10.2017 11:00	1011.88	1325.83
02.10.2017 12:00	1011.57	1327.32
02.10.2017 13:00	1011.38	1328.16
02.10.2017 14:00	1011.41	1327.54
02.10.2017 15:00	1011.39	1326.28
02.10.2017 16:00	1011.21	1328.62
02.10.2017 17:00	1011.1	1329.24
02.10.2017 18:00	1011.09	1329.69
02.10.2017 19:00	1011.08	1330.58
02.10.2017 20:00	1011.04	1330.59
02.10.2017 21:00	1010.96	1330.9
02.10.2017 22:00	1010.84	1329.94
02.10.2017 23:00	1010.69	1331.23
03.10.2017 00:00	1010.69	1331.62
03.10.2017 01:00	1010.58	1332.07
03.10.2017 02:00	1010.41	1332.03
03.10.2017 03:00	1010.37	1334.96
03.10.2017 04:00	1010.35	1334.73
03.10.2017 05:00	1010.16	1336.42
03.10.2017 06:00	1010	1337.49
03.10.2017 07:00	1009.84	1338.88
03.10.2017 08:00	1009.9	1338.61
03.10.2017 09:00	1009.67	1341.85
03.10.2017 10:00	1009.48	1342
03.10.2017 11:00	1008.96	1341.61
03.10.2017 12:00	1008.47	1343.95
03.10.2017 13:00	1007.85	1345.29
03.10.2017 14:00	1007.67	1345.18
03.10.2017 15:00	1007.35	1345.66
03.10.2017 16:00	1006.98	1344.82
03.10.2017 17:00	1006.98	1346.69
03.10.2017 18:00	1006.75	1347.16
03.10.2017 19:00	1006.57	1346.72
03.10.2017 20:00	1006.2	1347.41
03.10.2017 21:00	1005.83	1347.77
03.10.2017 22:00	1005.31	1347.13
03.10.2017 23:00	1004.88	1347.77
04.10.2017 00:00	1004.22	1350.66
04.10.2017 01:00	1003.51	1353.27
04.10.2017 02:00	1002.82	1355.09
04.10.2017 03:00	1002.2	1354.15
04.10.2017 04:00	1001.72	1356.81
04.10.2017 05:00	1001.21	1359.17
04.10.2017 06:00	1000.55	1361.42
04.10.2017 07:00	999.861	1363.37
04.10.2017 08:00	998.926	1368.59
04.10.2017 09:00	998.008	1370.13
04.10.2017 10:00	997.145	1373.2
04.10.2017 11:00	996.452	1376.2
04.10.2017 12:00	995.807	1378.49
04.10.2017 13:00	995.322	1379.91
04.10.2017 14:00	994.901	1383.37
04.10.2017 15:00	994.014	1384.3
